cnpj_loja;nome_loja;telefone_loja;cep_loja;estado_loja;cidade_loja;complemento_loja;numero_endereco_loja;logradouro_loja;tipo_logradouro_loja;cpf_cliente;cod_cliente;nome_cliente;telefone_cliente;cep_cliente;estado_cliente;cidade_cliente;logradouro_cliente;tipo_logradouro_cliente;numero_endereco_cliente;complemento_cliente;numero_nota_fiscal;data_nota_fiscal;valor_total_nota_fiscal;cod_produto;categoria_produto;descricao_produto;quant_estoque_produto;quantidade_produto;preco_unid_produto
085987950001-32;MATICA INFORMATICA;6235498789;64824687;GO;GOIANIA;QD.5 LT. 8;56;PEQUI;AVENIDA;865.476.347-68;91;ENZO;6234515247;55538-756;GO;GOIANIA;OURO;AVENIDA;S/N;QD.23 LT.09;45551;25/12/2001;2320;21000;ARMAZENAMENTO;HDD 1000 GB;456;8;290
085987950001-32;MATICA INFORMATICA;6235498789;64824687;GO;GOIANIA;QD.5 LT. 8;56;PEQUI;AVENIDA;865.476.347-68;91;ENZO;6234515247;55538-756;GO;GOIANIA;OURO;AVENIDA;S/N;QD.23 LT.09;45552;26/12/2001;1650;4300;PERIFERICO;KIT TECLADO MOUSE SEM FIO;642;10;60
085987950001-32;MATICA INFORMATICA;6235498789;64824687;GO;GOIANIA;QD.5 LT. 8;56;PEQUI;AVENIDA;865.476.347-68;91;ENZO;6234515247;55538-756;GO;GOIANIA;OURO;AVENIDA;S/N;QD.23 LT.09;45552;27/12/2001;1650;3120;ARMAZENAMENTO;SSD 120 GB;662;4;150
085987950001-32;MATICA INFORMATICA;6235498789;64824687;GO;GOIANIA;QD.5 LT. 8;56;PEQUI;AVENIDA;865.476.347-68;91;ENZO;6234515247;55538-756;GO;GOIANIA;OURO;AVENIDA;S/N;QD.23 LT.09;45552;28/12/2001;1650;1500;ALIMENTACAO;FONTE ATX 500W;561;5;90
085987950001-32;MATICA INFORMATICA;6235498789;64824687;GO;GOIANIA;QD.5 LT. 8;56;PEQUI;AVENIDA;865.476.347-68;91;ENZO;6234515247;55538-756;GO;GOIANIA;OURO;AVENIDA;S/N;QD.23 LT.09;45554;29/12/2001;600;4300;PERIFERICO;KIT TECLADO MOUSE SEM FIO;642;10;60
085987950001-32;MATICA INFORMATICA;6235498789;64824687;GO;GOIANIA;QD.5 LT. 8;56;PEQUI;AVENIDA;865.476.347-68;91;ENZO;6234515247;55538-756;GO;GOIANIA;OURO;AVENIDA;S/N;QD.23 LT.09;45556;30/12/2001;7050;2500;ARMAZENAMENTO;HDD 500 GB;567;15;150
085987950001-32;MATICA INFORMATICA;6235498789;64824687;GO;GOIANIA;QD.5 LT. 8;56;PEQUI;AVENIDA;865.476.347-68;91;ENZO;6234515247;55538-756;GO;GOIANIA;OURO;AVENIDA;S/N;QD.23 LT.09;45556;31/12/2001;7050;3512;ARMAZENAMENTO;SSD 512 GB;71;12;400
085987950001-32;MATICA INFORMATICA;6235498789;64824687;GO;GOIANIA;QD.5 LT. 8;56;PEQUI;AVENIDA;865.476.347-68;91;ENZO;6234515247;55538-756;GO;GOIANIA;OURO;AVENIDA;S/N;QD.23 LT.09;45559;01/01/2002;14000;25000;ARMAZENAMENTO;HDD 5000 GB;152;14;1000
085987950001-32;MATICA INFORMATICA;6235498789;64824687;GO;GOIANIA;QD.5 LT. 8;56;PEQUI;AVENIDA;369.346.110-08;57;VALENTINA;6434891593;87188-427;MS;CAMPO GRANDE;SEM NOME;RUA;985;QD.45 LT.87;45560;02/01/2009;400;3512;ARMAZENAMENTO;SSD 512 GB;71;1;400
085987950001-32;MATICA INFORMATICA;6235498789;64824687;GO;GOIANIA;QD.5 LT. 8;56;PEQUI;AVENIDA;369.346.110-08;57;VALENTINA;6434891593;87188-427;MS;CAMPO GRANDE;SEM NOME;RUA;985;QD.45 LT.87;45561;03/01/2002;2830;4300;PERIFERICO;KIT TECLADO MOUSE SEM FIO;642;7;60
085987950001-32;MATICA INFORMATICA;6235498789;64824687;GO;GOIANIA;QD.5 LT. 8;56;PEQUI;AVENIDA;369.346.110-08;57;VALENTINA;6434891593;87188-427;MS;CAMPO GRANDE;SEM NOME;RUA;985;QD.45 LT.87;45561;04/01/2002;2830;2500;ARMAZENAMENTO;HDD 500 GB;567;3;150
